函数名,调用数,已用非独占时间百分比,已用独占时间百分比,平均已用非独占时间,平均已用独占时间,模块名
std::uncaught_exception,11,0,0,0,0,MSVCP140.dll
"std::basic_ostream<char,std::char_traits<char> >::flush",9,0,0,0,0,MSVCP140.dll
"std::basic_filebuf<char,std::char_traits<char> >::_Init",5,0,0,0,0,SSE-V3.exe
"std::basic_iostream<char,std::char_traits<char> >::basic_iostream<char,std::char_traits<char> >",1,0,0,0,0,MSVCP140.dll
"std::basic_ios<char,std::char_traits<char> >::widen",9,0,0,0,0,MSVCP140.dll
std::codecvt_base::`vector deleting destructor',1,0,0,0,0,MSVCP140.dll
"std::basic_streambuf<char,std::char_traits<char> >::getloc",2,0,0,0,0,MSVCP140.dll
"std::basic_filebuf<char,std::char_traits<char> >::_Lock",11,0,0,0,0,MSVCP140.dll
"std::basic_iostream<char,std::char_traits<char> >::~basic_iostream<char,std::char_traits<char> >",1,0,0,0,0,MSVCP140.dll
_onexit,2,0,0,0,0,SSE-V3.exe
"std::basic_ostream<char,std::char_traits<char> >::_Osfx",11,0,0,0,0,MSVCP140.dll
"std::basic_filebuf<char,std::char_traits<char> >::_Unlock",11,0,0,0,0,MSVCP140.dll
"std::basic_ios<char,std::char_traits<char> >::setstate",11,0,0,0,0,MSVCP140.dll
__security_check_cookie,10,0,0,0,0,SSE-V3.exe
GetModuleHandleWStub,1,0,0,0,0,KERNEL32.DLL
"std::basic_streambuf<char,std::char_traits<char> >::~basic_streambuf<char,std::char_traits<char> >",1,0,0,0,0,MSVCP140.dll
std::codecvt_base::always_noconv,2,0,0,0,0,MSVCP140.dll
std::locale::facet::_Decref,3,0,0,0,0,MSVCP140.dll
__isa_available_init,1,0,0,0,0,SSE-V3.exe
operator new,1,0,0,0,0,SSE-V3.exe
"std::basic_ios<char,std::char_traits<char> >::~basic_ios<char,std::char_traits<char> >",1,0,0,0,0,MSVCP140.dll
std::_Lockit::_Lockit,2,0,0,0,0,MSVCP140.dll
std::locale::id::operator unsigned __int64,2,0,0,0,0,MSVCP140.dll
"std::basic_streambuf<char,std::char_traits<char> >::_Init",5,0,0,0,0,MSVCP140.dll
"std::basic_filebuf<char,std::char_traits<char> >::_Endwrite",2,0,0,0,0,SSE-V3.exe
__security_init_cookie,1,0,0,0,0,SSE-V3.exe
_get_stream_buffer_pointers,2,0,0,0,0,ucrtbase.dll
std::_Facet_Register,1,0,0,0,0,SSE-V3.exe
"std::basic_ios<char,std::char_traits<char> >::basic_ios<char,std::char_traits<char> >",1,0,0,0,0,MSVCP140.dll
atexit,2,0,0,0,0,SSE-V3.exe
"std::basic_filebuf<char,std::char_traits<char> >::~basic_filebuf<char,std::char_traits<char> >",1,0,0,0,0,SSE-V3.exe
"std::basic_streambuf<char,std::char_traits<char> >::basic_streambuf<char,std::char_traits<char> >",1,0,0,0,0,MSVCP140.dll
"std::basic_ios<char,std::char_traits<char> >::clear",2,0,0,0,0,MSVCP140.dll
std::_Lockit::~_Lockit,2,0,0,0,0,MSVCP140.dll
__scrt_initialize_onexit_tables,1,0,0,0,0,SSE-V3.exe
__scrt_acquire_startup_lock,1,0,0,0,0,SSE-V3.exe
_RTC_Initialize,1,0,0,0,0,SSE-V3.exe
_RTC_Terminate,1,0,0,0,0,SSE-V3.exe
std::locale::facet::_Incref,1,0,0,0,0,MSVCP140.dll
__scrt_release_startup_lock,1,0,0,0,0,SSE-V3.exe
__scrt_initialize_default_local_stdio_options,1,0,0,0,0,SSE-V3.exe
post_pgo_initialization,1,0,0,0,0,SSE-V3.exe
