函数名,调用数,已用非独占时间百分比,已用独占时间百分比,平均已用非独占时间,平均已用独占时间,模块名,
"H_cmp","3,000",59.30,59.30,4.58,4.58,"SSE-V3.exe",
"Ez_cmp","3,000",39.97,39.97,3.09,3.09,"SSE-V3.exe",
"Bd_proc_left_right","3,000",0.47,0.47,0.04,0.04,"SSE-V3.exe",
"Bd_proc_down","3,000",0.07,0.07,0.01,0.01,"SSE-V3.exe",
"Bd_proc_up","3,000",0.06,0.06,0.00,0.00,"SSE-V3.exe",
"compute",1,99.93,0.05,"23,149.50",12.36,"SSE-V3.exe",
"H_Init",1,0.02,0.02,5.53,5.48,"SSE-V3.exe",
"std::ctype<unsigned short>::toupper",11,0.02,0.02,0.39,0.39,"MSVCP140.dll",
"Ez_Init",1,0.02,0.01,3.79,2.34,"SSE-V3.exe",
"std::basic_ostream<char,std::char_traits<char> >::operator<<",5,0.01,0.01,0.31,0.31,"MSVCP140.dll",
"Boundary_MUR1","3,000",0.61,0.00,0.05,0.00,"SSE-V3.exe",
"std::basic_ostream<char,std::char_traits<char> >::operator<<",4,0.00,0.00,0.26,0.26,"MSVCP140.dll",
"std::_Fiopen",1,0.00,0.00,0.96,0.96,"MSVCP140.dll",
"mainCRTStartup",1,100.00,0.00,"23,166.72",0.68,"SSE-V3.exe",
"File_Init",1,0.01,0.00,1.45,0.16,"SSE-V3.exe",
"std::basic_ostream<char,std::char_traits<char> >::put",9,0.00,0.00,0.01,0.01,"MSVCP140.dll",
"fclose",1,0.00,0.00,0.11,0.11,"ucrtbase.dll",
"std::codecvt<char,char,_Mbstatet>::_Getcat",1,0.00,0.00,0.11,0.11,"MSVCP140.dll",
"_aligned_malloc",3,0.00,0.00,0.02,0.02,"ucrtbase.dll",
"malloc",8,0.00,0.00,0.01,0.01,"ucrtbase.dll",
"Boundary_Init",1,0.00,0.00,0.08,0.04,"SSE-V3.exe",
"__scrt_common_main_seh",1,100.00,0.00,"23,166.04",0.03,"SSE-V3.exe",
"std::basic_filebuf<char,std::char_traits<char> >::_Init",3,0.00,0.00,0.01,0.01,"SSE-V3.exe",
"pre_cpp_initialization",1,0.00,0.00,0.03,0.03,"SSE-V3.exe",
"std::basic_iostream<char,std::char_traits<char> >::basic_iostream<char,std::char_traits<char> >",1,0.00,0.00,0.02,0.02,"MSVCP140.dll",
"__scrt_is_managed_app",1,0.00,0.00,0.02,0.02,"SSE-V3.exe",
"std::uncaught_exception",11,0.00,0.00,0.00,0.00,"MSVCP140.dll",
"std::basic_streambuf<char,std::char_traits<char> >::getloc",1,0.00,0.00,0.01,0.01,"MSVCP140.dll",
"std::basic_iostream<char,std::char_traits<char> >::~basic_iostream<char,std::char_traits<char> >",1,0.00,0.00,0.01,0.01,"MSVCP140.dll",
"std::basic_streambuf<char,std::char_traits<char> >::~basic_streambuf<char,std::char_traits<char> >",1,0.00,0.00,0.01,0.01,"MSVCP140.dll",
"std::operator<<<std::char_traits<char> >",11,0.02,0.00,0.39,0.00,"SSE-V3.exe",
"pre_c_initialization",1,0.00,0.00,0.01,0.01,"SSE-V3.exe",
"_set_new_mode",1,0.00,0.00,0.01,0.01,"SSE-V3.exe",
