函数名,调用数,已用非独占时间百分比,已用独占时间百分比,平均已用非独占时间,平均已用独占时间,模块名
mainCRTStartup,1,100,0.01,"4,087.06",0.38,SSE-V3.exe
__scrt_common_main_seh,1,99.99,0,"4,086.68",0.04,SSE-V3.exe
main,1,99.99,0,"4,086.55",0,SSE-V3.exe
compute,1,99.72,0.09,"4,075.65",3.62,SSE-V3.exe
Input,1,0.27,0,10.9,0,SSE-V3.exe
Init_check,1,0.1,0,4.28,0,SSE-V3.exe
Ez_Init,1,0.08,0.04,3.29,1.53,SSE-V3.exe
H_Init,1,0.07,0.06,2.66,2.62,SSE-V3.exe
H_cmp,"1,000",59.15,59.15,2.42,2.42,SSE-V3.exe
Ez_cmp,"1,000",39.61,39.61,1.62,1.62,SSE-V3.exe
std::ctype<unsigned short>::toupper,11,0.09,0.09,0.33,0.33,MSVCP140.dll
File_Init,1,0.01,0,0.33,0.03,SSE-V3.exe
std::operator<<<std::char_traits<char> >,11,0.09,0,0.33,0,SSE-V3.exe
"std::basic_ostream<char,std::char_traits<char> >::operator<<",4,0.03,0.03,0.3,0.3,MSVCP140.dll
"std::basic_ostream<char,std::char_traits<char> >::operator<<",5,0.03,0.03,0.27,0.27,MSVCP140.dll
std::_Fiopen,1,0.01,0.01,0.21,0.21,MSVCP140.dll
"std::basic_filebuf<char,std::char_traits<char> >::open",2,0.01,0,0.12,0,SSE-V3.exe
Boundary_MUR1,"1,000",0.86,0.01,0.04,0,SSE-V3.exe
fclose,1,0,0,0.04,0.04,ucrtbase.dll
pre_cpp_initialization,1,0,0,0.04,0.04,SSE-V3.exe
"std::basic_fstream<char,std::char_traits<char> >::close",1,0,0,0.04,0,SSE-V3.exe
Bd_proc_left_right,"1,000",0.71,0.71,0.03,0.03,SSE-V3.exe
__scrt_is_managed_app,1,0,0,0.03,0.03,SSE-V3.exe
Boundary_Init,1,0,0,0.03,0,SSE-V3.exe
"std::use_facet<std::codecvt<char,char,_Mbstatet> >",1,0,0,0.03,0,SSE-V3.exe
_aligned_malloc,3,0,0,0.02,0.02,ucrtbase.dll
"std::codecvt<char,char,_Mbstatet>::_Getcat",1,0,0,0.02,0.02,MSVCP140.dll
"std::basic_istream<wchar_t,std::char_traits<wchar_t> >::operator>>",9,0,0,0.02,0,MSVCP140.dll
"std::endl<char,std::char_traits<char> >",9,0,0,0.02,0,SSE-V3.exe
"std::basic_ostream<char,std::char_traits<char> >::put",9,0,0,0.01,0.01,MSVCP140.dll
pre_c_initialization,1,0,0,0.01,0.01,SSE-V3.exe
_set_new_mode,1,0,0,0.01,0.01,SSE-V3.exe
__scrt_initialize_crt,1,0,0,0.01,0,SSE-V3.exe
std::_Fac_node::`scalar deleting destructor',1,0,0,0.01,0,SSE-V3.exe
std::`dynamic atexit destructor for '_Fac_tidy_reg'',1,0,0,0.01,0,SSE-V3.exe
"std::basic_fstream<char,std::char_traits<char> >::basic_fstream<char,std::char_traits<char> >",1,0,0,0.01,0,SSE-V3.exe
